Processed,Name,Components,Recommendations,Problem or Purpose,My Comments,Theoretical/Conceptual,Sample,Methods,Key Findings,github,Cover,Related References,URL,Zotero URI,DOI,Edited
Yes,Exploring Temporally-Aware Features for Point Tracking,"2D features, track","• Use Chrono as per-camera temporally-aware 2D encoder.
• Replace flow with Chrono correlation cues.
• Seed 2D tracks for 4DGS dynamic segmentation.
• Triangulate multi-view tracks for 3D flying objects.
• Beware single-view training; lacks geometric constraints.
• Evaluate cross-view feature consistency and robustness.","• Improve point tracking with temporally-aware features.
• Address reliance on heavy iterative refiners.
• Leverage pretrained backbones for robust real-world tracking.
• Enable accurate refiner-free point tracking.","• Excellent 2D temporal encoding; lacks 3D fusion.
• No self-calibration or multi-camera modeling.
• Useful for static/dynamic separation via stable tracks.
• Missing classification and explainability modules.
• Consider cross-view adapters for multi-camera overlap.
• Test on fast flying objects, motion blur.","• Adapt DINOv2 with temporal adapters between transformer blocks.
• Local temporal attention over window N=13 frames.
• Cosine similarity correlation with soft-argmax localization.
• Huber loss supervises 2D point positions.
• Residual design preserves pretrained spatial semantics.","• Generic videos: synthetic and real domains.
• TAP-Vid-RGB-Stacking: 50 synthetic videos.
• TAP-Vid-Kinetics: 1,189 YouTube videos.
• TAP-Vid-DAVIS: 30 challenging videos.
• Single-camera; no multi-view overlap.
• Annotations: 2D tracks, visibility; license N/A.","• DINOv2 ViT backbone plus temporal adapters each block.
• 2D Conv downsample, 1D temporal attention, Conv up.
• Temporal window N=13; stride s=4.
• Matching by cosine correlation; soft-argmax prediction.
• Train on Kubric Panning MOVi-E with Huber loss.
• AdamW, LR 1e-4, 100k iters, 4 A100 GPUs.","• SOTA position accuracy among backbones on TAP-Vid.
• +20.6%p vs TSM-ResNet-18 on DAVIS.
• Over 90% <δ4 accuracy on DAVIS strided.
• 12.5× throughput vs TAPIR with minor accuracy drop.
• 1D attention beats 1D/3D conv temporal aggregation.
• Features improve LocoTrack metrics across datasets.",https://cvlab-kaist.github.io/Chrono/,,,,https://zotero.org/alehanderoo/items/4NRZGGLA,,13/10/2025 22:44 (GMT+2)
Yes,End-to-End Flow Correlation Tracking with Spatial-Temporal Attention,"2D features, track","• Reuse flow-guided temporal aggregation per camera.
• Adopt spatial-temporal attention gating before 3D fusion.
• Use PNR-based update gating for stability.
• Risk: flow unreliable for fast flying objects.
• Quick-win: replace FlowNet with RAFT.
• Quick-win: compare no-temporal-attention versus full gating.","• Improve tracking using temporal motion cues from flow.
• DCF trackers ignore inter-frame information.
• End-to-end joint flow and tracking learning.
• Handle occlusion, deformation, illumination changes.","• No multi-view, no 3D occupancy; limited relevance.
• Strong 2D temporal feature design transferable.
• Attention weighting inspires multi-camera fusion gating.
• Flow warping may fail under large parallax.
• Extend to multi-object association remains open.
• Evaluate on aerial, high-speed, low-texture targets.","• DCF formulated as differentiable correlation filter layer.
• L2 loss to Gaussian response, regularization lambda.
• Fourier-domain solution for filter optimization.
• Optical flow warping via bilinear sampling.
• Spatial-temporal attention weights with cosine similarity.
• Channel reweighting akin to squeeze-excitation.","• General single-object video tracking domain.
• OTB2013: 50; OTB2015: 100 sequences.
• VOT2015/2016: 60 sequences each.
• Monocular videos; single camera; no overlap.
• 2D bounding box annotations.
• 3D motion/flying objects: N/A.","• FeatureNet, FlowNet, warping, spatial-temporal attention, CF layer.
• Pose strategy: none; calibration-free irrelevant.
• 2D conv backbone; FlowNet for optical flow.
• Temporal aggregation of warped features; no 3D fusion.
• Response map head; PNR-gated model updates; scale pyramid.
• SGD training; T=6 frames; lr1e-5; 12 FPS.","• OTB2013 AUC 0.689; precision 0.921; state-of-art.
• OTB2015 AUC 0.655; precision 0.881; top-ranked.
• VOT2015 EAO 0.3405; ranks first.
• VOT2016 EAO 0.334; ranks first.
• Ablations: >6% gains using flow aggregation.
• Runtime 12 FPS on GTX TITAN X.",https://github.com/zhengzhugithub/FlowTrack,,,https://ieeexplore.ieee.org/document/8578162/,https://zotero.org/alehanderoo/items/HPDSJY4K,https://doi.org/10.1109/CVPR.2018.00064,13/10/2025 22:38 (GMT+2)
Yes,Probing the 3D Awareness of Visual Foundation Models,"2D features, 3D features","• Use DINOv2 for 2D geometric features
• Avoid CLIP for geometry-sensitive modules
• Add view-consistency regularization or multiview training
• Validate wide-baseline matching on overlapped cameras
• Combine depth/normal probes with 4DGS volumes
• Explore diffusion features for semantic bootstrapping","• Evaluate VFMs' intrinsic 3D awareness
• Gap: lack of 3D benchmarks
• Probe single-view surface understanding
• Probe multiview cross-view consistency
• Use frozen features, minimal probes","• Limited for flying-object dynamics; static datasets
• Useful to choose 2D backbones
• Wide-baseline weakness risks multi-camera setups
• No pose self-calibration; relies on GT poses
• No classification/tracking modules evaluated
• Consider temporal cues, optical flow integration","• 3D awareness: surface encoding, cross-view consistency
• Map to depth, normals, correspondence tasks
• Frozen-feature probing assumption
• AdaBins depth formulation, scale-invariant loss
• Uncertainty-aware normals loss (Bae et al.)
• Nearest-neighbor correspondence, Lowe's ratio filtering","• NYUv2 indoor scenes; aligned depth, normals
• NAVI object-centric images; meshes, depth, normals
• ScanNet pairs; indoor multiview with known poses
• SPair71k keypoints; semantic correspondence classes
• Multiview overlap ensured by viewpoint bins
• Public datasets; code released; permissive licenses","• Extract dense features from diverse backbones
• Train multiscale DPT-like decoder probes
• Calibration: use dataset intrinsics and poses
• Zero-shot correspondence via cosine nearest neighbors
• Filter matches with Lowe's ratio test
• AdamW, 10 epochs, cosine LR, combined losses","• DINOv2 excels at depth and normals
• StableDiffusion competitive on single-view geometry
• CLIP/SigLIP poor at geometric cues
• Large viewpoint consistency degrades sharply
• Semantic matches outperform geometric wide-baseline
• Runtime/memory not reported",https://github.com/mbanani/probe3d,,,http://arxiv.org/abs/2404.08636,https://zotero.org/alehanderoo/items/UAB3D5SF,https://doi.org/10.48550/arXiv.2404.08636,13/10/2025 22:32 (GMT+2)
Yes,You Only Look Once,"2D features, classify","• Use YOLO for per-camera 2D detections
• Fine-tune on UAV/bird flying objects
• Seed 2D features from YOLO detections
• Evaluate multi-view consistency for fusion
• Risk: small objects, distant targets
• Add separate 3D tracking and calibration modules","• Unify detection into single end-to-end network
• Replace slow proposal-based pipelines
• Real-time detection with high accuracy
• Reduce background false positives via global context","• 2D-only; no multi-view or 3D tracking
• Strong real-time per-camera detection baseline
• Small flying objects likely challenging
• End-to-end simplicity informs module unification
• Needs instance segmentation for 4DGS integration
• Consider explainability add-ons if needed","• Detection as regression on S×S grid
• Predict B boxes and C class probabilities
• Confidence equals Pr(Object) × IOU
• Sum-squared error with λcoord, λnoobj
• Leaky ReLU activations; sqrt(width,height) trick
• Non-max suppression for duplicate removal","• PASCAL VOC 2007/2012 natural images
• #images unspecified in paper
• Single-view images; no multi-camera overlap
• 2D bounding boxes with class labels
• No 3D motion; still images
• Public benchmark datasets; standard licenses","• Resize input to 448×448
• Single CNN predicts boxes and classes
• No pose or calibration; single-RGB input
• Backbone inspired by GoogLeNet; pretrained ImageNet
• Assign responsibility via highest IOU
• Loss weights λcoord=5, λnoobj=0.5; augmentation","• 45 FPS, 63.4% mAP on VOC2007+2012
• Fast YOLO: 155 FPS, 52.7% mAP
• Fewer background errors than Fast R-CNN
• Localization errors dominate YOLO mistakes
• Combining with Fast R-CNN reaches 75.0% mAP
• Generalizes better to artwork domains",https://github.com/pjreddie/darknet,,,http://arxiv.org/abs/1506.02640,https://zotero.org/alehanderoo/items/W7I9BWTC,https://doi.org/10.48550/arXiv.1506.02640,13/10/2025 21:09 (GMT+2)
Yes,Video Swin Transformer,"2D features, 3D features, classify","• Use Video Swin for per-camera spatiotemporal features.
• Export features to 4DGS reconstruction module.
• Fine-tune on flying-object datasets.
• Add flow branch if motion cues needed.
• Enforce multi-view consistency during training.
• Apply Grad-CAM on attention maps.","• Improve video recognition efficiency and accuracy.
• Introduce local spatiotemporal attention windows.
• Utilize image-pretrained Swin for videos.
• Surpass global-attention Transformers' trade-off.
• Achieve SOTA on K400, K600, SSv2.","• Strong 2D/temporal features, no 3D fusion.
• No pose, calibration, or multi-view handling.
• Useful backbone before 3DGS feature fusion.
• LR scheduling trick transferable to fine-tuning.
• Windowed attention suits long videos efficiently.
• Needs adaptation for aerial, small flying objects.","• Spatiotemporal locality inductive bias.
• 3D shifted-window self-attention mechanism.
• Hierarchical Transformer with patch merging.
• 3D relative position bias in attention.
• Joint spatiotemporal attention within windows.
• Cross-entropy classification loss, AdamW optimizer.","• Kinetics-400: ~240k train, 20k val.
• Kinetics-600: ~370k train, 28.3k val.
• SSv2: 168.9k train, 24.7k val.
• Single monocular videos; no multi-view overlap.
• Action labels only; clip-level supervision.
• Public datasets; academic research licenses.","• 3D patch tokens from video frames.
• 3D shifted-window multi-head self-attention.
• Four-stage hierarchical Swin backbone.
• ImageNet-21K/1K pretraining; lower backbone LR.
• Relative position bias; stochastic depth; RandAugment.
• Inference with multi-view sampling, score averaging.","• K400 top-1 84.9%, SOTA.
• K600 top-1 86.1%, SOTA.
• SSv2 top-1 69.6%, surpasses MViT.
• 3D shifted windows: +0.7% top-1.
• Temporal window 8 vs 16: -0.3, -17% FLOPs.
• Smaller pretraining data than ViViT-H.",https://github.com/SwinTransformer/Video-Swin-Transformer,,,http://arxiv.org/abs/2106.13230,https://zotero.org/alehanderoo/items/3SUGK9SJ,https://doi.org/10.48550/arXiv.2106.13230,13/10/2025 20:58 (GMT+2)
Yes,ImVoxelGNet,"2D features, 3D features, 3D-fusion, classify, pose","• Reuse learnable projection-neighborhood expansion module
• Adopt GIP occupancy gating before 4DGS fusion
• Replace averaging with uncertainty-weighted voxel fusion
• Add self-calibration for calibration-free multi-camera setups
• Test on flying-object datasets with overlapping cameras
• Integrate temporal cues or optical flow features","• Improve RGB-only multi-view 3D detection accuracy
• Address pixel underuse in back-projection mapping
• Enhance geometric perception via implicit occupancy modeling
• Reduce dependency on depth or point clouds","• Strong multi-view voxel fusion; no temporal modeling
• Requires known calibration; not self-calibrated
• Static indoor scenes; no flying objects
• No tracking; detection-only classification head
• Useful occupancy prior for 3D occupancy prediction
• Consider replacing voxels with 4DGS features","• Pinhole projection linking voxels and image pixels
• Frustum masks and multi-view voxel averaging
• Learnable neighborhood feature expansion near projections
• Implicit voxel occupancy gating via 3D convolutions
• Voxel-space 3D detection with convolutional heads","• Indoor ScanNetV2 multi-view RGB scenes
• 1,201 train, 312 val scans
• 50 views per scene during testing
• Intrinsics/extrinsics provided; overlapping cameras
• Axis-aligned 3D bounding boxes
• Static scenes; no 3D motion","• Pretrained 2D backbone with FPN feature maps
• Back-project features to 3D voxels using calibration
• Multi-view voxel fusion via masked averaging
• Learnable eight-neighbor feature expansion near projections
• GIP predicts voxel occupancy, gates voxel features
• 3D conv detection head; AdamW, 12 epochs","• +2.1–2.2 mAP@0.25 over ImVoxelNet
• Combined 8-L+GIP best: 48.1 mAP@0.25
• Improved noise robustness versus baseline
• Minimal params overhead: +51K parameters
• Inference ~0.19s/image on GTX 1070
• Ablations favor learnable kernels over fixed",https://github.com/xug-coder/ImVoxelGNet,,,https://dx.plos.org/10.1371/journal.pone.0320589,https://zotero.org/alehanderoo/items/TWAS8TJT,https://doi.org/10.1371/journal.pone.0320589,13/10/2025 20:33 (GMT+2)
Yes,Multi-camera real-time three-dimensional tracking of multiple flying animals,"2D features, 3D features, 3D-fusion, pose, track","• Reuse EKF+NNSF for 3D MOT module.
• Adopt self-calibration from moving LED/fly trajectories.
• Use background subtraction for dynamic object proposals.
• Integrate entry/exit logic with 3DGS object pipelines.
• Add optical flow and semantic segmentation for features.
• Validate latency, occlusion robustness in multi-camera rigs.","• Real-time multi-camera 3D tracking of flying animals.
• Markerless, low-latency tracking with multiple targets.
• Robust tracking over large volumes with occlusions.
• Gap: lacked inexpensive, scalable, real-time 3D trackers.","• Strong fit: multi-view, flying, real-time 3D tracking.
• Missing: 3D occupancy volume, classification, explainability.
• Background subtraction may fail in dynamic backgrounds.
• Identity persistence limited; re-identification needed.
• Useful for pose/triangulation and association design.
• Check code availability, license, synchronization complexity.","• Bayesian MAP state estimation with Markov assumption.
• EKF with constant-velocity motion model.
• Projective camera observation model with Gaussian noise.
• NNSF data association per-target independence.
• Mahalanobis gating along camera rays.
• Entry/exit modeling for target birth and death.","• Domains: flies, hummingbirds in arenas.
• Systems: 5, 11, 4 camera setups.
• Overlapping multi-view around central volume.
• 60–200 fps; 18 h tracking session.
• Markerless, no manual labels; 3D motion present.
• Software availability: open-source components; data N/A.","• Background subtraction 2D features per camera.
• Features: u,v, area, brightness, orientation, eccentricity.
• Two-step calibration: DLT plus multi-camera self-calibration.
• Centralized triangulation plus EKF tracking.
• NNSF association; gating by distance, area, Mahalanobis.
• Initialization via multi-view hypotheses; track termination thresholds.","• Median 3D latency approximately 39 ms.
• Reprojection error typically under one pixel.
• 3D accuracy within 4% of physical measures.
• Robust to occlusions; alternating single-view updates.
• Tracks multiple animals simultaneously in real time.
• Reduced storage via saving 2D features only.",,,,https://royalsocietypublishing.org/doi/10.1098/rsif.2010.0230,https://zotero.org/alehanderoo/items/2JQ5A75G,https://doi.org/10.1098/rsif.2010.0230,11/10/2025 2:35 (GMT+2)
Yes,Fully Sparse 3D Occupancy Prediction,"2D features, 3D features, 3D-fusion, classify","• Reuse sparse voxel decoder for 3D occupancy volume
• Adopt mask-guided sparse sampling for 2D-3D interaction
• Use RayIoU-style metric for depth-consistent evaluation
• Augment temporal fusion with optical flow features
• Add static/dynamic separation for moving-object focus
• Assess robustness to pose noise; explore self-calibration","• Speed up camera-only 3D occupancy prediction
• Exploit scene sparsity to reduce compute
• Eliminate dense 3D features and global attention
• Propose RayIoU for fair depth-consistent evaluation
• Achieve real-time performance without accuracy loss","• Strong camera-only occupancy; no tracking provided
• Relies on dataset calibration; no self-calibration
• Multi-camera overlap aligns with thesis setup
• Not focused on aerial/flying objects
• Sparse design could seed 4DGS feature volumes
• Ray-based metrics helpful for moving-object depth","• Coarse-to-fine sparse voxel decoder
• Mask transformer with sparse queries
• Mask-guided sparse sampling cross-attention
• RayIoU ray-casting mIoU formulation
• Losses: BCE, focal, dice, BCE mask
• Hungarian matching for assignment","• Autonomous driving, Occ3D-nuScenes dataset
• 1000 videos; 700/150/150 split
• Six surround cameras with overlap
• Voxel-level semantic occupancy annotations
• Dynamic 3D motion present; multi-frame inputs
• Public benchmark; code and metric released","• ResNet-50 + FPN multi-view 2D features
• Sparse voxel decoder reconstructs class-agnostic occupancy
• Temporal warping of sampled 3D points
• Mask transformer predicts sparse masks and labels
• Top-k/threshold pruning; class-weighted BCE supervision
• Assumes known camera poses; not calibration-free","• 34.0 RayIoU at 17.3 FPS with 8 frames
• 35.1 RayIoU using 16 frames
• Outperforms FB-Occ under weaker settings
• Sparse decoder ~4x faster than dense baselines
• Mask-guided sampling boosts accuracy and speed
• Optimal sparsity ~5% voxels (~32k)",https://github.com/MCG-NJU/SparseOcc,,,http://arxiv.org/abs/2312.17118,https://zotero.org/alehanderoo/items/FQIMMNEE,https://doi.org/10.48550/arXiv.2312.17118,11/10/2025 2:27 (GMT+2)
Yes,Boosting Multi-View Indoor 3D Object Detection via Adaptive 3D Volume Construction,"2D features, 3D features, 3D-fusion, classify","• Reuse sparse occupancy-guided 3D volume construction.
• Adopt 3D deformable lifting for voxel features.
• Integrate multi-view attention for view weighting.
• Use box-based occupancy pseudo-labels for supervision.
• Risk: needs accurate poses; static-scene assumption.
• Quick test: feed 4DGS with sparse voxel seeds.","• Improve multi-view indoor 3D object detection.
• Address limited voxel receptive fields in lifting.
• Reduce dense volume computational overhead.
• Avoid dependence on ground-truth geometry.
• Handle occlusion and view contribution adaptively.","• Strong for multi-view fusion; indoor static scenes.
• No tracking or dynamic separation implemented.
• Not calibrated-free; relies on reliable poses.
• Ideas transferable to 4DGS feature lifting.
• Open: robustness to pose noise, moving targets.
• Open: performance with sparse, non-overlapping cameras.","• Geometry- and context-aware 3D deformable attention.
• Multi-view attention for adaptive view weighting.
• Sparse coarse-to-fine volume construction.
• Occupancy prediction supervised by 3D boxes.
• Detection loss: centerness, IoU, focal.
• Occupancy binary cross-entropy loss.","• ScanNet: 1,201 train, 312 test scenes.
• ScanNet200: 200 classes, extended categories.
• ARKitScenes: 4,498 train, 549 test.
• Per scene: 40 train, 100 test views.
• Posed images; overlapping multi-view subsets.
• Annotations: 3D bounding boxes; static scenes.","• ResNet-50 FPN backbone extracting 2D features.
• DepthNet with plane sweeping cost volumes.
• 3D deformable attention for intra-view lifting.
• Multi-view attention for inter-view fusion.
• Sparse coarse-to-fine occupancy-guided refinement.
• Requires known intrinsics/extrinsics; no self-calibration.","• SOTA on ScanNet mAP@0.25 61.2, @0.5 35.2.
• Beats MVSDet by +5.0 @0.25, +3.9 @0.5.
• Lower training memory: 20GB vs 35GB.
• Higher FPS: 1.46 vs 0.87.
• Occupancy loss adds +6.7 @0.25 mAP.
• 3D deformable+MV attention boosts performance.",https://github.com/RM-Zhang/SGCDet,,,http://arxiv.org/abs/2507.18331,https://zotero.org/alehanderoo/items/ATHKG55F,https://doi.org/10.48550/arXiv.2507.18331,11/10/2025 2:26 (GMT+2)
Yes,Multimodal dataset for indoor 3D drone tracking,"2D features, 3D-fusion, pose, track","• Use dataset to train multi-view drone detectors.
• Adopt epipolar matching for cross-view association.
• Implement linear triangulation baseline for tracking.
• Leverage ArUco inside-out for self-pose calibration.
• Test PSO for multi-drone joint optimization.
• Exploit provided masks for dynamic-static separation.","• Provide multimodal indoor 3D drone tracking dataset.
• Address scarcity of multicamera, synchronized drone tracking data.
• Support both outside-in and inside-out localization approaches.
• Enable evaluation of multi-drone 3D tracking methods.
• Include real and simulated sequences for benchmarking.","• Strong fit: flying, multi-camera, synchronized indoor tracking.
• No occupancy grids or Gaussian Splatting provided.
• Classification absent; focus solely on localization.
• Real setup uses only four static cameras.
• Good source for calibration and association strategies.
• Consider adding calibration-free extrinsics via dynamics.","• Pinhole camera model with P=K[R|t] projection.
• Overdetermined linear system solved via pseudoinverse.
• Epipolar geometry for cross-camera association.
• Particle Swarm Optimization for 3D state estimation.
• P3P with ArUco for camera pose estimation.
• Background subtraction GMM for silhouette extraction.","• Indoor lab hall with marked walls.
• 31 sequences: 18 real, 13 simulated.
• Four static real cameras, eight simulated viewpoints.
• 25 fps, 1924x1082 real, 3840x2160 FPV.
• Annotations: Vicon 3D, 2D boxes, ArUco coordinates.
• 3D motion present; CC BY on Zenodo.","• YOLOv5 detection trained from mocap-projected boxes.
• Linear triangulation from multiple calibrated cameras.
• Epipolar matching to associate multi-drone detections.
• PSO optimizing 3D positions using silhouette overlaps.
• Inside-out pose via ArUco detection and P3P.
• Calibration via OpenCV; intrinsics from specs.","• Triangulation mean errors: 0.075–0.685 m.
• Swaps increase mean; medians remain low.
• PSO errors: 0.068–0.510 m across configs.
• More particles/iterations reduce PSO error.
• FPV ArUco position error: 0.042–0.054 m.
• Orientation differences moderate; yaw variance higher.",,,,https://www.nature.com/articles/s41597-025-04521-y,https://zotero.org/alehanderoo/items/QJHNYJZ7,https://doi.org/10.1038/s41597-025-04521-y,11/10/2025 2:25 (GMT+2)
Yes,Multi-camera multi-target drone tracking systems with trajectory-based target matching and re-identification,"2D features, 3D-fusion, pose, track","• Reuse trajectory cross-correlation for inter-camera ID association.
• Adopt EKF+flow for motion state priors.
• Assure overlapping FOV and time sync between cameras.
• Calibrate extrinsics or add self-calibration module.
• Mitigate background noise with robust detection/segmentation.
• Replace YOLOv3 with modern small-object detector.","• Multi-camera tracking and localization of drones in real time.
• Inter/intra-camera re-identification for consistent target IDs.
• Uses cross-correlation of trajectory features for matching.
• Addresses gap in multi-camera aerial re-identification.","• Strong fit for flying, multi-view tracking needs.
• No self-calibration; extrinsics assumed known.
• No occupancy or Gaussian Splatting components.
• Classification limited; focus on re-identification.
• Exploit trajectory features as 3D tracking prior.
• Open: synchronization, calibration drift, scale ambiguity.","• Trajectory signature X=f(Q, turning angle, curvature, pace).
• Cross-correlation maximization for inter-camera track matching.
• Mean-shift histogram distance with KL/Bhattacharyya metrics.
• EKF state estimation for motion prediction.
• Triangulation using camera positions, orientations, directional cosines.
• Normalized correlation threshold 0.7 for acceptance.","• Domain: drones and pedestrians.
• Two drone tests; three-camera human test.
• Cameras: two stationary for drones; three views for humans.
• Overlapping FOV with slight disparity.
• Annotations: N/A; detector outputs used.
• Availability: YouTube videos; dataset/license N/A.","• Hybrid detection: YOLOv3-Tiny and motion-based blob detection.
• Optical flow and EKF for single-camera tracking.
• Intra-camera association: nearest distance with RANSAC compensation.
• Inter-camera re-id: cross-correlate trajectory feature signals.
• Pose: assumes known camera positions and pan/tilt orientations.
• 3D fusion: least-squares triangulation of target distances.","• Successful intra/inter-camera re-id for single drone.
• Two-drone re-id degraded under background noise.
• Human multi-camera re-id consistent across three views.
• 3D coordinates obtained from two-camera setup.
• No quantitative metrics; qualitative demonstrations only.
• Real-time feasibility shown with simple hardware.",,,,https://ieeexplore.ieee.org/document/9476845/,https://zotero.org/alehanderoo/items/BA8GVBH4,https://doi.org/10.1109/ICUAS51884.2021.9476845,11/10/2025 2:21 (GMT+2)
Yes,Handcrafted and Deep Trackers,"2D features, track","• Reuse ECO-style multi-resolution 2D features.
• Adopt STRCF/SRDCF regularization for robust 2D cues.
• Fuse optical flow for motion-aware 2D features.
• Use Siamese matching for cross-view association seeds.
• Benchmark 2D trackers on flying-object videos.
• Treat outputs as priors for 4DGS reconstruction.","• Survey recent visual object tracking approaches.
• Compare handcrafted versus deep features in trackers.
• Evaluate 24 trackers across multiple benchmarks.
• Propose OTTC benchmark combining OTB and TC-128.
• Identify trends and gaps in tracking research.","• Focuses on monocular 2D; no multi-view overlap.
• No self-calibration or 3D occupancy methods.
• Useful for 2D temporal feature design.
• Siamese and DCF insights transferable to pre-processing.
• Lacks explainability and 3D tracking evaluations.","• DCF theory with FFT correlation theorem.
• MOSSE minimizes sum-squared error in Fourier.
• SRDCF introduces spatial regularization penalties.
• ECO uses GMM for appearance diversity.
• Siamese similarity learning with cross-correlation.","• OTB2013: 50 sequences; OTB2015: 100 sequences.
• TC-128: 128 sequences; OTTC: 186 sequences.
• VOT2017: 60 sequences with resets.
• Single-camera videos; overlapping views: N/A.
• Annotations: 2D boxes; no 3D motion labels.","• Categorize trackers: CFTs and non-CFTs.
• Evaluate using OPE precision and success AUC.
• Report VOT2017 EAO, accuracy, robustness.
• Use default params; speed measured on shared hardware.
• Backbones include VGG; features HOG, CN, CNN.
• Optical flow used in DMSRDCF motion features.","• Regularized CFTs outperform other categories.
• ECO and CCOT achieve top precision and success.
• Deep features generally surpass handcrafted features.
• HC+deep feature fusion further improves performance.
• KCF fastest; SiameseFC strong real-time.
• OTTC is more challenging than prior benchmarks.",http://bit.ly/2TV46Ka,,,https://dl.acm.org/doi/10.1145/3309665,https://zotero.org/alehanderoo/items/LDI7MPZJ,https://doi.org/10.1145/3309665,11/10/2025 2:17 (GMT+2)
Yes,Analysis Based on Recent Deep Learning Approaches Applied in Real-Time Multi-Object Tracking,"2D features, track","• Adopt PMBM/Kalman for probabilistic 3D tracking.
• Integrate Siamese ReID across overlapping RGB cameras.
• Leverage optical flow to stabilize motion affinities.
• Fuse high-quality detections into 4DGS feature volumes.
• Use TrackR-CNN masks for dynamic/static separation.
• Note: no self-calibration or 3D occupancy guidance.","• Review deep learning online MOT methods 2015–2020.
• Summarize detection quality and association focused approaches.
• Assess high-speed, low-compute tracking trade-offs.
• Modeling uncertainty and CNN affinity methods reviewed.
• Highlight multi-camera MOT progress and limitations.
• Identify challenges: occlusion, similarity, small objects.","• Primarily 2D MOT; limited 3D applicability.
• Multi-camera lacks overlapping, calibration-free specifics.
• Association/filtering insights useful for 3D tracking.
• No flying-object datasets; mostly pedestrians/vehicles.
• No Gaussian Splatting or volumetrics discussed.
• Extend methods with multi-view 3D geometry.","• Tracking-by-detection with DCNN feature learning.
• CLEAR MOT MOTA and MOTP formulations.
• Graph, min-cost flow association models.
• PMBM, GMPHD, GLMB Bayesian filters.
• Kalman filter with Hungarian assignment.
• Siamese and quadruplet metric learning.","• 95 papers across surveillance and driving domains.
• Datasets: MOT15/16/17, KITTI, UA-DETRAC, PETS09.
• Mostly monocular; some multi-camera network studies.
• Annotations: 2D boxes, IDs; occasional masks.
• 3D motion rarely; mostly ground-plane pedestrians.
• Availability: public benchmarks; review, no new dataset.","• PRISMA-guided search; 95 deep MOT works.
• Four themes: detection, speed, uncertainty, affinity.
• Detectors: Faster R-CNN, SSD, YOLO variants.
• Associations: MHT, CRF, LSTM, ReID, Siamese.
• Filters: Kalman, PMBM, GMPHD; correlation filters.
• Losses: triplet, softmax; occasional optical flow usage.","• Detection quality strongly drives tracking performance.
• Speedups often reduce accuracy; occlusions remain problematic.
• ReID/Siamese help IDs, struggle in dense crowds.
• Multi-camera identity consistency remains challenging.
• Reported runtimes: 0.01–1.9 seconds per frame.
• Accuracy ranges roughly 14% to 86%.",,,,https://ieeexplore.ieee.org/document/9359743/,https://zotero.org/alehanderoo/items/UUH6T2R9,https://doi.org/10.1109/ACCESS.2021.3060821,11/10/2025 2:15 (GMT+2)
Yes,"Multi-camera Multi-drone Detection, Tracking and Localization with Trajectory-based Re-identification","2D features, 3D-fusion, classify, pose, track","• Reuse trajectory-based re-ID for multi-view association.
• Adopt self-calibration using dynamic targets as references.
• Integrate optical flow for improved 2D temporal features.
• Replace blobs with modern tiny detectors for robustness.
• Fuse more cameras to improve depth accuracy.
• Quantify uncertainty for probabilistic 3D tracking outputs.","• Real-time multi-camera drone detection, tracking, localization.
• Address cross-camera re-identification during information fusion.
• Handle small, distant drones with minimal appearance cues.
• Provide 3D trajectories for multiple simultaneous drones.
• Demonstrate outdoor operation with overlapping camera views.","• Strong fit: multi-camera, flying 3D tracking focus.
• Lacks occupancy and Gaussian Splatting components.
• Self-calibration via drones aligns with thesis needs.
• Classification limited; augment with appearance classifiers.
• Requires all targets visible across overlapping cameras.
• Investigate synchronization, latency, and occlusion robustness.","• Geometry-based 3D estimation from pan-tilt camera models.
• Q = P + l R(α,β) D directional geometry equation.
• Distance scaling using FOV, pixel width, focal angles.
• Multi-camera least squares solving for unknown distances.
• Trajectory feature Xj: angle, curvature, pace.
• Cross-correlation maximizing inter-camera trajectory similarity.","• Domain: outdoor multi-drone flights over open field.
• Cameras: three; two ground webcams, one aerial.
• Overlap: central volume visible across ground cameras.
• Annotations: onboard GPS logs for trajectory comparison.
• 3D motion: two drones flying, overtaking maneuvers.
• Availability: YouTube videos; license unspecified.","• Hybrid detection: motion blobs plus YOLOv3-tiny verification.
• 2D tracking via geometry and optical flow integration.
• Calibration: self-align cameras using shared fixed points.
• 3D fusion: triangulation and least squares across cameras.
• Re-ID/classify via trajectory feature Xj cross-correlation.
• Implementation: MATLAB xcorr; real-time processing reported.","• Two drones tracked and localized simultaneously outdoors.
• Average positional error approximately eight percent.
• 3D trajectories align with GPS flight logs.
• Trajectory-based re-ID resolves duplicate broken tracks.
• System operates in real-time with three cameras.
• Accuracy limited by image quality and distance.",,,,https://ieeexplore.ieee.org/document/9358454/,https://zotero.org/alehanderoo/items/U2Z3G8LP,https://doi.org/10.1109/ICA-SYMP50206.2021.9358454,11/10/2025 2:13 (GMT+2)
